agar, Agar
polycaprolactam, Polycaprolactam
polydimethylsiloxane, Polydimethylsiloxane
polyphenylenesulfide, PolyphenyleneSulfide
polytetrafluoroethylene, Polytetrafluoroethylene
polyvinylbutyral, PolyvinylButyral
polyvinylchloride, PolyvinylChloride
potash, Potash
potassium, Potassium
potassiumdichromate, PotassiumDichromate
potassiumfeldspar, PotassiumFeldspar
potin, Potin
powellite, Powellite
pyrite, Pyrite
pyrochlore, Pyrochlore
pyrolusite, Pyrolusite
pyrope, Pyrope
quartzsand, QuartzSand
quartzite, Quartzite
quicklime, Quicklime
rareearth, RareEarth
rarestmetalmixture, RarestMetalMixture
rawrubber, RawRubber
rawstyrenebutadienerubber, RawStyreneButadieneRubber
realgar, Realgar
redalloy, RedAlloy
redsteel, RedSteel
redrock, Redrock
redstone, Redstone
reinforcedepoxyresin, ReinforcedEpoxyResin
rhodium, Rhodium
rhodiumplatedpalladium, RhodiumPlatedPalladium
rocksalt, RockSalt
rosegold, RoseGold
rtmalloy, RtmAlloy
rubber, Rubber
ruby, Ruby
ruridit, Ruridit
ruthenium, Ruthenium
rutheniumtetroxide, RutheniumTetroxide
rutheniumtriniumamericiumneutronate, RutheniumTriniumAmericiumNeutronate
rutile, Rutile
salt, Salt
saltpeter, Saltpeter
samarium, Samarium
samariumironarsenicoxide, SamariumIronArsenicOxide
samariummagnetic, SamariumMagnetic
sapphire, Sapphire
scheelite, Scheelite
silicon, Silicon
silicondioxide, SiliconDioxide
siliconerubber, SiliconeRubber
silver, Silver
soapstone, Soapstone
sodaash, SodaAsh
sodalite, Sodalite
sodium, Sodium
sodiumbicarbonate, SodiumBicarbonate
sodiumbisulfate, SodiumBisulfate
sodiumhydroxide, SodiumHydroxide
sodiumsulfide, SodiumSulfide
solderingalloy, SolderingAlloy
spessartine, Spessartine
sphalerite, Sphalerite
spodumene, Spodumene
stainlesssteel, StainlessSteel
steel, Steel
steelmagnetic, SteelMagnetic
sterlingsilver, SterlingSilver
stibnite, Stibnite
stone, Stone
styrenebutadienerubber, StyreneButadieneRubber
sugar, Sugar
sulfur, Sulfur
talc, Talc
tantalite, Tantalite
tantalum, Tantalum
tetrahedrite, Tetrahedrite
thorium, Thorium
tin, Tin
tinalloy, TinAlloy
titanium, Titanium
titaniumtrifluoride, TitaniumTrifluoride
topaz, Topaz
treatedwood, TreatedWood
tricalciumphosphate, TricalciumPhosphate
trinium, Trinium
triniumsulfide, TriniumSulfide
tritanium, Tritanium
trona, Trona
tungstate, Tungstate
tungsten, Tungsten
tungstencarbide, TungstenCarbide
tungstensteel, TungstenSteel
tungsticacid, TungsticAcid
ultimet, Ultimet
uraninite, Uraninite
uranium, Uranium
uranium235, Uranium235
uranium238, Uranium238
uraniumrhodiumdinaquadide, UraniumRhodiumDinaquadide
uraniumtriplatinum, UraniumTriplatinum
uvarovite, Uvarovite
vanadium, Vanadium
vanadiumgallium, VanadiumGallium
vanadiummagnetite, VanadiumMagnetite
vanadiumsteel, VanadiumSteel
wheat, Wheat
wood, Wood
wroughtiron, WroughtIron
wulfenite, Wulfenite
yellowlimonite, YellowLimonite
yttrium, Yttrium
yttriumbariumcuprate, YttriumBariumCuprate
zeolite, Zeolite
zinc, Zinc
zincsulfide, ZincSulfide
zincite, Zincite
zircaloy4, Zircaloy4
zircon, Zircon
zirconia, Zirconia
zirconium, Zirconium
zirconiumtetrachloride, ZirconiumTetrachloride
bolt, bolt
crushed, crushed
crushedcentrifuged, crushedCentrifuged
crushedpurified, crushedPurified
dust, dust
dustimpure, dustImpure
dustpure, dustPure
dustsmall, dustSmall
dusttiny, dustTiny
foil, foil
gear, gear
gearsmall, gearSmall
gem, gem
gemexquisite, gemExquisite
gemflawless, gemFlawless
ingot, ingot
ingothot, ingotHot
lens, lens
nugget, nugget
plate, plate
platedense, plateDense
platedouble, plateDouble
ring, ring
rotor, rotor
round, round
screw, screw
spring, spring
springsmall, springSmall
stick, stick
sticklong, stickLong
toolheadbuzzsaw, toolHeadBuzzSaw
toolheadchainsaw, toolHeadChainsaw
toolheaddrill, toolHeadDrill
toolheadscrewdriver, toolHeadScrewdriver
toolheadwrench, toolHeadWrench
turbineblade, turbineBlade
wirefine, wireFine
